frame,kind,id,x,y,w,h
1,FN,1,198.0,546.7,238.5,293.4
1,FN,2,383.0,856.6,320.2,221.9
1,FN,3,485.0,467.6,306.1,349.5
1,FN,4,638.1,328.6,273.0,385.2
1,FN,5,1190.4,601.5,309.9,452.8
1,FN,6,372.8,139.8,213.0,278.1
1,FP,127,482.0,309.0,408.0,770.0
1,FP,95,295.0,138.0,303.0,890.0
2,FN,1,198.0,546.7,238.5,293.4
2,FN,2,383.0,856.6,320.2,221.9
2,FN,3,485.0,467.6,306.1,349.5
2,FN,4,638.1,328.6,273.0,385.2
2,FN,5,1190.4,601.5,309.9,452.8
2,FN,6,372.8,139.8,213.0,278.1
3,FN,1,198.0,546.7,238.5,293.4
3,FN,2,383.0,856.6,320.2,221.9
3,FN,3,485.0,467.6,306.1,349.5
3,FN,4,638.1,328.6,273.0,385.2
3,FN,5,1190.4,601.5,309.9,452.8
3,FN,6,372.8,139.8,213.0,278.1
3,FP,53,478.0,297.0,123.0,781.0
3,FP,127,574.0,297.0,329.0,781.0
4,FN,1,198.0,546.7,238.5,293.4
4,FN,3,485.0,467.6,306.1,349.5
4,FN,4,638.1,328.6,273.0,385.2
4,FN,5,1190.4,601.5,309.9,452.8
4,FN,6,372.8,139.8,213.0,278.1
4,FP,53,458.0,294.0,112.0,790.0
4,FP,127,529.0,384.0,346.0,691.0
4,FP,95,327.0,133.0,225.0,572.0
5,FN,1,198.0,546.7,238.5,293.4
5,FN,3,485.0,467.6,306.1,349.5
5,FN,4,638.1,328.6,273.0,385.2
5,FN,5,1190.4,601.5,309.9,452.8
5,FN,6,372.8,139.8,213.0,278.1
5,FP,53,466.0,292.0,123.0,794.0
5,FP,127,577.0,318.0,456.0,759.0
5,FP,95,332.0,133.0,221.0,540.0
6,FN,1,198.0,546.7,238.5,293.4
6,FN,3,485.0,467.6,306.1,349.5
6,FN,4,638.1,328.6,273.0,385.2
6,FN,5,1190.4,601.5,309.9,452.8
6,FN,6,372.8,139.8,213.0,278.1
6,FP,127,538.0,381.0,404.0,694.0
6,FP,95,336.0,133.0,211.0,538.0
7,FN,1,198.0,546.7,238.5,293.4
7,FN,2,383.0,856.6,320.2,221.9
7,FN,3,485.0,467.6,306.1,349.5
7,FN,4,638.1,328.6,273.0,385.2
7,FN,5,1190.4,601.5,309.9,452.8
7,FN,6,372.8,139.8,213.0,278.1
7,FP,127,529.0,328.0,363.0,749.0
7,FP,95,303.0,54.0,244.0,671.0
8,FN,1,198.0,546.7,238.5,293.4
8,FN,3,485.0,467.6,306.1,349.5
8,FN,4,638.1,328.6,273.0,385.2
8,FN,5,1190.4,601.5,309.9,452.8
8,FN,6,372.8,139.8,213.0,278.1
8,FP,127,526.0,310.0,347.0,768.0
8,FP,95,283.0,94.0,262.0,612.0
8,FP,53,497.0,408.0,62.0,678.0
9,FN,1,198.0,546.7,238.5,293.4
9,FN,3,485.0,467.6,306.1,349.5
9,FN,4,638.1,328.6,273.0,385.2
9,FN,5,1190.4,601.5,309.9,452.8
9,FN,6,372.8,139.8,213.0,278.1
9,FP,127,545.0,388.0,350.0,689.0
9,FP,95,306.0,118.0,235.0,588.0
9,FP,53,501.0,430.0,53.0,652.0
10,FN,1,198.0,546.7,238.5,293.4
10,FN,3,485.0,467.6,306.1,349.5
10,FN,4,638.1,328.6,273.0,385.2
10,FN,5,1190.4,601.5,309.9,452.8
10,FN,6,372.8,139.8,213.0,278.1
10,FP,127,551.0,419.0,353.0,658.0
